image_path,arm_type,label
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_001.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_002.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_003.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_004.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_005.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_006.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_007.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_008.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_009.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_010.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_011.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_012.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_013.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_014.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_015.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_016.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_017.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_018.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_019.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_020.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_021.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_022.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_023.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_024.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_025.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_026.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_027.jpg,left,illegal
