image_path,arm_type,angle,label
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_001.jpg,left,125.70749150892834,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_002.jpg,left,125.20048442674283,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_003.jpg,left,125.14395747837875,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_004.jpg,left,124.95489036079027,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_005.jpg,left,124.66460130469295,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_006.jpg,left,122.7193260658718,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_007.jpg,left,122.32127067053487,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_008.jpg,left,121.76344222293146,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_009.jpg,left,122.45466959213239,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_010.jpg,left,123.0533900132051,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_011.jpg,left,101.25102220258447,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_012.jpg,left,98.64344490048762,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_013.jpg,left,102.54613660035989,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_014.jpg,left,108.90379748066727,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_015.jpg,left,111.76835381561392,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_016.jpg,left,110.89550204221482,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_017.jpg,left,109.88770969626748,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_018.jpg,left,109.45427382724532,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_019.jpg,left,109.26349847305684,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_020.jpg,left,109.22173795504557,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_021.jpg,left,109.58905827457113,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_022.jpg,left,110.30235369054063,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_023.jpg,left,110.51055637153621,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_024.jpg,left,110.8079987347542,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_025.jpg,left,110.9875114854566,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_026.jpg,left,110.93333429216358,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_027.jpg,left,108.43675230144575,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_028.jpg,left,107.07425459460651,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_029.jpg,left,106.97421229381825,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_030.jpg,left,107.95810629065093,illegal
